WEAT word,Sentences,Index
গোলাপ,10-11-12-17-18-19,0
জবা,,1
শাপলা,16-21,2
বেলী,,3
শিউলী,,4
হাসনাহেনা,,5
জুঁই,,6
কামিনী,,7
রজনীগন্ধা,,8
কাঠগোলাপ,,9
গাঁদা,,10
পারুল,,11
অপরাজিতা,,12
কৃষ্ণচূড়া,,13
বাগানবিলাস,,14
পদ্ম,,15
চাঁপা,,16
মশা,14,17
মাছি,,18
পিঁপড়া,,19
মাকড়শা,,20
মৌমাছি,,21
তেলাপোকা,,22
উকুন,,23
ফড়িং,,24
ঘাসফড়িং,,25
ঝিঁঝিঁ,,26
ছারপোকা,,27
উইপোকা,,28
কীট,,29
টিকটিকি,,30
জোঁক,,31
কেঁচো,,32
বিছে,,33
আদর,,34
স্বাধীনতা,,35
স্বাস্থ্য,,36
ভালবাসা,,37
শান্তি,,38
উল্লাস,,39
বন্ধু,,40
স্বর্গ,,41
অনুগত,,42
আনন্দ,,43
হীরা,,44
মৃদু,,45
সৎ,,46
ভাগ্যবান,,47
রংধনু,,48
উপহার,,49
সম্মান,,50
অলৌকিক,,51
সূর্যোদয়,,52
পরিবার,13,53
খুশি,,54
হাসি,,55
ছুটি,,56
অপব্যবহার,,57
দুর্ঘটনা,,58
ময়লা,,59
হত্যা,,60
অসুস্থতা,,61
মৃত্যু,,62
দুঃখ,,63
বিষ,,64
দুর্গন্ধ,,65
লাঞ্ছনা,,66
বিপর্যয়,,67
ঘৃণা,,68
দূষিত,,69
দুঃখজনক,,70
বিবাহবিচ্ছেদ,,71
জেল,,72
দারিদ্র্য,,73
কুৎসিত,,74
ক্যান্সার,,75
পচা,,76
বমি,,77
যন্ত্রণা,,78
কারাগার,,79
গিটার,,80
হারমোনিয়াম,,81
ড্রাম,22,82
ড্রামস,,83
বীণা,,84
বেহালা,,85
পিয়ানো,,86
বাঁশি,,87
সেতার,,88
একতারা,,89
দোতারা,,90
তবলা,,91
ঢোল,,92
সারেঙ্গি,,93
ঢাক,,94
ভায়োলিন,,95
এসরাজ,,96
সরোদ,,97
তীর,,98
ধনুক,,99
বন্দুক,,100
মিসাইল,,101
বর্শা,,102
ছোরা,,103
তলোয়ার,,104
রাইফেল,,105
বোমা,,106
আগ্নেয়াস্ত্র,,107
ছুরি,,108
পিস্তল,,109
গ্রেনেড,,110
তরবারী,,111
যুদ্ধজাহাজ,,112
গোলাবারুদ,,113
যুদ্ধবিমান,,114
চাপাতি,,115
মোহাম্মদ,,116
আহমেদ,,117
আব্দুল,,118
রহিম,,119
করিম,,120
মাহমুদ,,121
আব্দুল্লাহ,,122
আলী,7,123
মোস্তফা,,124
সৈয়দ,,125
কাজী,,126
শেখ,,127
হাসান,,128
আব্দুর,,129
মেহেদী,,130
সাকিব,,131
তানভীর,,132
সাইফুল,,133
মাসুদ,,134
শামীম,,135
আবুল,23,136
সুমন,,137
আরিফ,,138
ফাহিম,,139
ইউসুফ,,140
কামাল,,141
নাজমুল,,142
শারমিন,,143
জান্নাতুল,,144
ফাতেমা,,145
সাদিয়া,,146
তানিয়া,,147
সালমা,,148
আসমা,,149
ফারজানা,,150
খাদিজা,,151
আদিবা,,152
নুসরাত,,153
উম্মে,,154
কুলসুম,,155
ফারহানা,,156
আয়েশা,,157
হালিমা,,158
সুমি,,159
সাবিলা,,160
সানজিদা,,161
সুমাইয়া,,162
সুলতানা,,163
ফাহমিদা,,164
নিশাত,,165
রোকেয়া,,166
তাসনিম,,167
খালেদা,,168
বেগম,,169
ব্যবসা,,170
চাকরি,,171
বেতন,,172
অফিস,,173
কর্মস্থল,,174
পেশা,,175
জব,,176
পেশাজীবী,,177
বাড়ি,,178
অভিভাবক,,179
সন্তান,,180
বিয়ে,,181
আত্মীয়,,182
স্বজন,,183
বিবাহ,,184
ছেলে,,185
লোক,0-8,186
পুরুষ,,187
ভাই,,188
চাচা,,189
মামা,,190
পুত্র,,191
স্বামী,,192
মেয়ে,,193
মহিলা,,194
নারী,,195
বোন,,196
কন্যা,1,197
মা,,198
বউ,,199
স্ত্রী,,200
গণিত,,201
বীজগণিত,,202
পাটিগণিত,,203
ত্রিকোণমিতি,,204
জ্যামিতি,,205
ক্যালকুলাস,,206
ব্যবকলন,,207
গণনা,,208
সংখ্যা,,209
অঙ্ক,,210
সমীকরণ,,211
যোগ,,212
বিয়োগ,,213
গুণ,,214
ভাগ,,215
কোণ,,216
গণিতবিদ,,217
কবিতা,,218
শিল্প,2-20,219
সাহিত্য,3-4-5-15,220
উপন্যাস,,221
নাটক,,222
নাচ,,223
নৃত্য,,224
গান,,225
সঙ্গীত,,226
আবৃত্তি,,227
চারুকলা,,228
চিত্র,,229
ছবি,6-9,230
গল্প,,231
চলচিত্র,,232
অভিনয়,,233
প্রবন্ধ,,234
বিজ্ঞান,,235
প্রযুক্তি,,236
পদার্থবিদ্যা,,237
পদার্থবিজ্ঞান,,238
রসায়ন,,239
গবেষণা,,240
জ্যোতির্বিদ্যা,,241
জীববিজ্ঞান,,242
উদ্ভিদবিজ্ঞান,,243
প্রাণীবিজ্ঞান,,244
প্রকৌশল,,245
নাসা,,246
রাসায়নিক,,247
রোবট,,248
মহাকাশবিজ্ঞান,,249
কৃষিবিজ্ঞান,,250
পরিবেশবিজ্ঞান,,251
